date,n_trades,n_active_accounts,total_volume_usd,total_realized_pnl,avg_trade_size_usd,n_buy,n_sell,long_short_ratio,classification,sentiment_simple,value,win_rate
2023-05-01,3,1,477.0,0.0,159.0,3,0,inf,Greed,Greed,63,
2023-12-05,9,1,50005.83,0.0,5556.203333333334,7,2,3.5,Extreme Greed,Greed,75,
2023-12-14,11,1,113203.35,-205.43473700000007,10291.213636363636,5,6,0.8333333333333334,Greed,Greed,72,0.6666666666666666
2023-12-15,2,1,10609.95,-24.632033999999997,5304.975,2,0,inf,Greed,Greed,70,0.0
2023-12-16,3,1,15348.77,0.0,5116.256666666667,3,0,inf,Greed,Greed,67,
2023-12-17,14,1,116278.02,304.982785,8305.572857142857,3,11,0.2727272727272727,Greed,Greed,73,0.6363636363636364
2023-12-18,2,1,31164.179999999997,0.0,15582.089999999998,2,0,inf,Greed,Greed,65,
2023-12-19,15,1,91602.41,1000.5386120000001,6106.827333333334,5,10,0.5,Greed,Greed,73,1.0
2023-12-20,18,1,141636.79,162.732282,7868.710555555556,10,8,1.25,Greed,Greed,74,1.0
2023-12-21,49,1,125233.97,537.211402,2555.795306122449,22,27,0.8148148148148148,Greed,Greed,70,0.9629629629629629
2023-12-22,10,1,88874.28,141.832675,8887.428,8,2,4.0,Greed,Greed,74,1.0
2023-12-23,13,1,78438.25,146.936704,6033.711538461538,5,8,0.625,Greed,Greed,70,1.0
2023-12-24,39,1,402954.94,1008.619956,10332.177948717948,21,18,1.1666666666666667,Greed,Greed,71,0.8823529411764706
2023-12-25,3,1,59948.51,-245.081348,19982.836666666666,2,1,2.0,Greed,Greed,73,0.0
2023-12-27,28,1,171411.06,-704.8892269999999,6121.823571428571,15,13,1.1538461538461537,Greed,Greed,73,0.3076923076923077
2023-12-28,23,1,100117.25,-970.730876,4352.923913043478,10,13,0.7692307692307693,Greed,Greed,73,0.0
2023-12-29,50,1,569559.72,508.92214299999995,11391.1944,31,19,1.631578947368421,Greed,Greed,65,0.75
2023-12-30,52,1,702550.21,354.998648,13510.58096153846,20,32,0.625,Greed,Greed,68,0.696969696969697
2024-01-01,18,1,264239.52999999997,-129.53146,14679.973888888888,10,8,1.25,Greed,Greed,65,0.16666666666666666
2024-01-02,17,1,121348.74,783.979116,7138.1611764705885,9,8,1.125,Greed,Greed,71,0.8888888888888888
2024-01-03,67,1,394499.36,866.015507,5888.050149253731,32,35,0.9142857142857143,Greed,Greed,70,0.8
2024-01-04,5,1,99792.54000000001,-67.60364,19958.508,2,3,0.6666666666666666,Greed,Greed,68,0.0
2024-01-05,66,1,1703942.66,164.141565,25817.31303030303,31,35,0.8857142857142857,Greed,Greed,72,0.5652173913043478
2024-01-06,22,1,298521.4,135.58166400000002,13569.154545454547,11,11,1.0,Greed,Greed,70,0.8333333333333334
2024-01-07,97,1,1048850.06,-835.681235,10812.887216494846,52,45,1.1555555555555554,Greed,Greed,71,0.24324324324324326
2024-01-08,128,1,1522452.43,-269.874439,11894.159609375,40,88,0.45454545454545453,Greed,Greed,71,0.47761194029850745
2024-01-09,70,1,870051.97,-826.349863,12429.313857142857,28,42,0.6666666666666666,Extreme Greed,Greed,76,0.6428571428571429
2024-01-10,193,1,2057479.48,-1517.091342,10660.515440414507,92,101,0.9108910891089109,Greed,Greed,73,0.4939759036144578
2024-01-11,21,2,305314.1,-164.08950099999998,14538.766666666666,13,8,1.625,Extreme Greed,Greed,76,0.5555555555555556
2024-01-12,7,1,200082.27,-1925.519024,28583.181428571428,5,2,2.5,Greed,Greed,71,0.0
2024-01-15,14,2,50636.1,152.85358,3616.8642857142854,5,9,0.5555555555555556,Neutral,Neutral,52,1.0
2024-01-16,9,2,116427.33,-2299.171458,12936.37,4,5,0.8,Greed,Greed,64,0.6
2024-01-17,53,1,800831.03,813.2741110000001,15110.019433962265,31,22,1.4090909090909092,Greed,Greed,60,0.5789473684210527
2024-01-18,46,1,424631.52999999997,68.93319,9231.120217391304,18,28,0.6428571428571429,Greed,Greed,63,0.3333333333333333
2024-01-19,48,2,428428.97,-385.419235,8925.603541666665,31,17,1.8235294117647058,Neutral,Neutral,51,0.2222222222222222
2024-01-20,106,1,1070090.51,-146.57487000000003,10095.193490566038,60,46,1.3043478260869565,Neutral,Neutral,52,0.46875
2024-01-21,11,1,103129.74,266.58114600000005,9375.43090909091,3,8,0.375,Greed,Greed,56,0.6
