Account,date,n_trades,volume_usd,avg_trade_size_usd,realized_pnl,fees,n_buy,n_sell,n_realized_trades,win_rate,long_short_ratio,net_pnl_after_fees,classification,sentiment_simple,value
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,900880.13,5089.718248587571,0.0,167.796055,0,177,,,0.0,-167.796055,Extreme Greed,Greed,76
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,542413.1799999999,7976.664411764705,0.0,67.883615,0,68,,,0.0,-67.883615,Extreme Greed,Greed,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,949380.0,23734.5,0.0,94.93798300000002,0,40,,,0.0,-94.93798300000002,Extreme Greed,Greed,83
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,338240.0,28186.666666666668,-21227.0,33.823995,12,0,12.0,0.0,,-21260.823995,Extreme Greed,Greed,94
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,465700.0,17248.14814814815,1603.1,104.62249,12,15,12.0,1.0,0.8,1498.47751,Extreme Greed,Greed,79
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,1316799.98,16058.536341463414,-132271.0,131.679967,82,0,82.0,0.0,,-132402.679967,Extreme Greed,Greed,77
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,1116918.77,48561.68565217392,0.0,390.921553,0,23,,,0.0,-390.921553,Extreme Greed,Greed,84
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,1212299.96,36736.36242424243,-175611.00005600002,121.229992,33,0,33.0,0.0,,-175732.23004800003,Greed,Greed,72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,5306093.62,11410.954021505377,71393.964098,780.33644,112,353,112.0,0.20535714285714285,0.31728045325779036,70613.627658,Extreme Greed,Greed,77
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,479429.99,9400.588039215687,40218.599998,23.971493,28,23,28.0,1.0,1.2173913043478262,40194.628505,Extreme Greed,Greed,76
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,1858470.0,185847.0,76710.0,92.923496,9,1,9.0,1.0,9.0,76617.076504,Greed,Greed,60
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,19794543.66,23593.019856972587,101011.685664,2355.038296,350,489,371.0,0.6900269541778976,0.7157464212678937,98656.647368,Fear,Fear,44
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,5616220.88,10576.687156308852,375620.270243,704.19937,111,420,111.0,0.7477477477477478,0.2642857142857143,374916.070873,Greed,Greed,72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,5582863.31,26585.06338095238,44400.9058,700.101577,78,132,78.0,1.0,0.5909090909090909,43700.804223,Neutral,Neutral,54
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,1432708.93,10161.056241134751,30897.0887,0.0,132,9,132.0,1.0,14.666666666666666,30897.0887,Neutral,Neutral,46
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,1537560.0,32032.5,55086.0,0.0,16,32,16.0,1.0,0.5,55086.0,Fear,Fear,43
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,6,807600.01,134600.00166666668,0.0,0.0,0,6,,,0.0,0.0,Neutral,Neutral,47
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,59,1603504.46,27178.041694915253,10152.12224,561.226533,31,28,31.0,1.0,1.1071428571428572,9590.895707,Neutral,Neutral,49
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,219,2898197.14,13233.776894977169,115445.395538,555.888761,93,126,93.0,1.0,0.7380952380952381,114889.506777,Fear,Fear,25
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,55,1372739.97,24958.908545454546,115287.0,137.273975,1,54,1.0,1.0,0.018518518518518517,115149.726025,Extreme Fear,Fear,16
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,45,134360.89,2985.797555555556,9482.221441,6.71802,36,9,36.0,1.0,4.0,9475.503421,Extreme Fear,Fear,20
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,5365898.24,8371.136099843994,533974.662903,268.294625,540,101,540.0,1.0,5.346534653465347,533706.368278,Fear,Fear,33
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,5,398200.0,79640.0,40200.0,39.819998,4,1,4.0,1.0,4.0,40160.180002,Neutral,Neutral,45
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,31,666240.85,21491.640322580646,307855.80341,66.62407,31,0,31.0,1.0,,307789.17934,Fear,Fear,43
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,55,135847.3,2469.9509090909087,11715.94323,34.68082399,8,47,46.0,1.0,0.1702127659574468,11681.26240601,Extreme Greed,Greed,84
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,1,0.06,0.06,0.0,0.0,0,1,,,0.0,0.0,Extreme Greed,Greed,81
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,34,48513.58,1426.8700000000001,0.0,1.31668822,34,0,,,,-1.31668822,Greed,Greed,72
